央视(电信),#genre#
CCTV-10(高清),http://27.148.240.181/PLTV/88888888/224/3221227356/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Eg63ntgROkdJWWg9A0LbzoQ%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000480%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-11(高清),http://27.148.240.181/PLTV/88888888/224/3221226888/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Eib3PXGfYQa_u0IMSsJpxyQ%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2CUmai%3ACHAN%2F1356%40BESTV.SMG.SMG%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-12(高清),http://27.148.240.181/PLTV/88888888/224/3221227347/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EirldFLByQayo1AM4gE_Z_A%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000482%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-13(高清),http://27.148.240.181/PLTV/88888888/224/3221227313/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E3Ly5LgcJq6Szc5bLL3HaSQ%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000602%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-14(高清),http://27.148.240.181/PLTV/88888888/224/3221227351/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EK1a98MCRFox-jLZ3n2cZag%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000483%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-音乐(高清),http://27.148.240.181/PLTV/88888888/224/3221226775/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ErSVDT6xCcJr9AsszblzrlQ%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2CUmai%3ACHAN%2F3874%40BESTV.SMG.SMG%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CGTN英语(高清),http://27.148.240.181/PLTV/88888888/224/3221226822/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Eobv_ldM0Lj_sRCh196D3VQ%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2CUmai%3ACHAN%2F1354%40BESTV.SMG.SMG%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-16(高清),http://27.148.240.181/PLTV/88888888/224/3221227352/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7En-cUyVtt8hYO5FtSWQewQw%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000625%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-17(高清),http://27.148.240.181/PLTV/88888888/224/3221227055/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EQU5qcEjusfdjtxqR4hEt7A%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000580%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2

